ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4,Throughput5
56,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,4,11682.18138234119,11511.892864281432,11602.03877673396,11745.152908255046,11079.70435477427
57,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,8,23070.55766540076,23215.2708374975,22954.227463521886,22889.954064309968,22602.838297021786
58,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,16,44044.76418864908,43269.78417266187,44170.36149390853,43543.856143856145,44279.17665867307
59,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,32,82336.3963244107,82714.82737976451,84085.6800479329,84022.56840423407,81581.50219736317
60,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,1,1538275.579536371,1547647.4705058988,1523775.6448710256,1587088.5822835432,1536231.5536892621
61,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,2,2974439.424230308,3301640.7592407595,3274625.4749050187,3329348.06077569,3205358.2566973213
62,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,4,6335606.3574570175,6322155.168966207,6361393.406593407,6328510.297940412,6077255.548890222
63,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,8,14229944.822071172,12355080.567772891,12534720.31187525,12256423.976023976,12861707.916833267
64,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,16,8064125.924445333,24882991.405156907,27072017.789326403,23432561.463122126,10933837.594886135
65,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,32,19590556.48702595,11745280.239520958,39925396.01196411,33918640.91816367,40776773.65269461
66,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,1,1374925.2747252746,1358985.802839432,1426561.2877424513,1357796.4407118575,1428417.6329468214
67,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,2,2303818.0555555555,2051319.0809190809,2407087.182563487,2468526.4947010595,2410342.3315336932
68,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,4,4364356.657337066,3764020.1959608076,4178006.1950439652,4498173.965206958,3968423.3153369324
69,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,8,6971627.7489004405,8025986.405437825,8613150.139944023,8715267.532467533,8436344.862055179
70,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,16,15086814.311413152,15132906.656006396,14760749.75014991,16156752.148710772,15901770.67518977
71,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,32,30095152.555910543,28278664.602477025,30276287.312687315,29816597.202797204,31511261.78115016
