ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4
0,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,1,2317150.1699660067,2292344.0,2313344.0,2198196.2,2370149.0
1,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,2,3258095.6,3255528.8,3548989.0,3360685.8,3318651.4
2,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,4,6854272.2,6635750.0,6418460.107978404,6597736.652669466,6680248.2
3,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,8,15849988.402319536,12764392.642942823,13662221.111555379,12316658.26834633,12411652.139144342
4,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,16,26113895.86248251,25319142.314611234,23474377.04918033,26146887.04518193,25315509.69418349
5,Binary Trees,50%,32768,trees.lockfree.NonBlockingTorontoBSTMap,32,47919764.63536464,42291888.0239521,41607365.90727419,46727384.15485931,47328961.05452367
6,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,1,1642771.4,1671517.0,1506227.2,1616460.8,1691087.7824435113
7,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,2,2925531.8,3109128.374325135,3311939.412117576,3334992.4015196958,3302969.00619876
8,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,4,6043231.2,6846795.8,6670685.325869652,6603034.593081383,6664174.7650469905
9,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,8,12884887.222555488,12892207.516993204,12771321.135772845,12778714.057188561,13044754.849030193
10,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,16,28489711.173296023,28356380.647740904,25551238.257045772,25916918.43262695,27375065.160903458
11,Binary Trees,50%,32768,trees.lockbased.LockBasedFriendlyTreeMap,32,56188515.08491509,51599570.02997003,57195222.0890753,53867649.080735415,54448663.60367559
12,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,1,1977211.0,1946382.0,1996812.8374325135,1959040.7918416315,1962934.0
13,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,2,2618672.2,2556232.75344931,2390344.2,2461630.2,2535539.6
14,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,4,4877894.2,5030733.453309338,4720708.25834833,4693213.6,4704667.866426715
15,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,8,9067433.713257348,8686625.474905018,9356470.50589882,9273036.192761447,8572648.940423831
16,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,16,16138840.663734507,15844789.126524085,15577741.75494703,18613939.024390243,15536767.339596242
17,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,32,33136289.11088911,29523724.020783376,33314889.88808953,31889045.163868908,31198715.141829804
18,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,1,2179979.604079184,2231878.0,2158205.3589282143,2151360.8,2150650.4699060186
19,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,2,2859322.2,3039953.8,2841570.285942811,2947980.8,2978478.904219156
20,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,4,5622234.753049389,5402286.742651469,5502862.6274745045,5813164.567086582,5326374.325134973
21,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,8,11741103.179364126,12165913.034786087,11032224.955008997,11579594.56217513,11061352.329534093
22,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,16,20646500.399840064,20094397.840863656,21190193.28402958,20104161.335465815,20504264.294282287
23,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,32,41028239.36063936,34477905.71314423,39437981.02277267,32058507.468631748,38269282.01553475
24,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,1,8017337.532493501,8279983.250249253,9634665.6,8003162.566423932,9085952.809438111
25,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,2,15552174.4,15284415.4,16834603.079384122,15267584.4,13608508.6
26,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,4,27502744.85102979,22212084.78304339,24928987.202559486,23419921.415716857,26490928.614277143
27,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,8,43940828.63427314,47838470.70585883,45894034.993001394,36849221.35572885,38982294.75766568
28,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,16,66073400.35978413,62629414.15150909,68263499.10053967,72081867.07975215,62751172.09674195
29,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,32,88145398.2017982,83446878.50098619,81999296.62876521,89161843.32533973,87436351.60905841
30,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,1,10028893.2,10327892.421515696,9498131.77364527,10341341.8,10137075.8
31,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,2,12755627.6,11754585.482903419,12052671.465706857,10596352.2,11354579.28414317
32,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,4,27238481.2,18810091.181763645,21678572.685462907,18101008.8,23931497.100579884
33,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,8,42475152.58262418,39512645.27094581,41152384.12317536,35330539.8920216,42382959.00819836
34,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,16,66468231.30747701,61184484.00639744,59913430.02798881,59095737.052589476,59003460.0159936
35,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,32,76689160.43956044,76267694.24460432,76914684.38801825,74255590.72741807,78557469.43667598
36,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,1,8452538.492301539,8671924.6,8669830.0,8665023.2,8555345.4
37,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,2,7932627.4,7690844.0,7939415.51689662,8075919.616076784,6958806.638672265
38,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,4,12877175.4,13938816.6,13195186.962607477,14973185.4,13587254.54909018
39,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,8,22670925.42982807,23249704.05918816,22689816.147082336,21826839.03219356,25953054.78904219
40,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,16,49982724.91003599,41241865.653738506,43876150.33986405,40160614.95401839,46468226.10955618
41,Hash Tables,50%,32768,hashtables.lockbased.LockBasedJavaHashMap,32,44863869.55653216,46567992.41214058,50211761.63836164,50530382.29416467,51770667.06634693
