ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4
16,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,16,14636940.155595452,926647.6416110273,2059779.0023201858,16753518.18545164,17689166.300219867
17,Binary Trees,50%,32768,trees.lockbased.LogicalOrderingAVL,32,25921301.777511485,25396326.408310026,26445317.41909708,24034645.154845156,24815000.199760288
18,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,1,2067570.3718512596,2044863.309352518,2112155.9688062384,2059149.5700859826,1999545.2909418114
19,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,2,2896166.1667666463,2892218.156368726,2892271.582733813,2852553.8892221553,2667594.4811037793
20,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,4,4641640.143942423,5510747.050589882,3390733.506597361,4990739.008792966,5057483.406637345
21,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,8,9560358.256697321,9251236.258245053,9384452.928243054,11350265.093962416,9447435.364635365
22,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,16,17908063.549160674,19749439.44844125,19985189.486308213,15782231.215027979,10218154.07673861
23,Binary Trees,50%,32768,trees.lockbased.LockBasedStanfordTreeMap,32,36371471.04632588,36087170.22977023,33115110.267678782,33154215.741110664,37394868.931068935
24,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,1,9517617.552978808,9356882.270637617,9805358.256697321,10983848.23035393,9367054.578168733
25,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,2,9216352.329534093,15373475.80967613,14961050.759392487,13036236.30547781,7047427.828868453
26,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,4,27169346.66133547,26156641.143542584,27919909.618076384,22390489.820359282,27650376.324735053
27,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,8,54845577.25364781,37461841.2634946,33843120.35185926,54822667.79932041,46488435.45163869
28,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,16,73185100.93943633,67823056.65270297,69441896.28297363,79413612.99267182,36421528.37729816
29,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingFriendlyHashMap,32,79017300.17974836,105465140.05994006,98905873.60223642,72557047.35264735,77384034.11344704
30,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,1,9340297.481007596,10025789.568345325,10025548.780487806,9866882.823435312,9611263.094762096
31,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,2,11805518.289026584,10746693.922431028,11660561.750599522,6637963.407318536,15415141.143542584
32,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,4,16045597.760895642,9924107.578484302,22241830.66773291,26190659.07274181,15485158.168366326
33,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,8,45190891.024370916,37021743.15410753,40219816.07357057,28497707.516993202,36052754.19664269
34,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,16,53399444.13518886,62590386.36817909,40787867.67895879,58995079.36821322,60777789.7261643
35,Hash Tables,50%,32768,hashtables.lockfree.NonBlockingCliffHashMap,32,69069934.7565842,74736117.96193498,82170171.41150707,72595068.3168317,77524249.1017964
