ID,Structure Type,Update Ratio,Initial Size,Class Name,Threads,Throughput1,Throughput2,Throughput3,Throughput4
48,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,1,2384.8,2245.5508898220355,2556.6886622675465,2570.6858628274344,2545.2
49,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,2,1226.8,1356.8572570971612,1276.9446110777844,1223.355328934213,1122.1511395441823
50,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,4,2228.7085165933627,2301.2794882047183,2207.9168332666936,2313.811712972217,2310.6757297081167
51,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,8,3953.836930455636,3996.203037569944,3726.818545163869,4039.768185451639,3741.754947031781
52,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,16,6770.183852917667,5743.695823483058,7515.484515484515,6265.129114922136,6966.633366633367
53,Linked Lists,50%,32768,linkedlists.lockbased.LockCouplingListIntSet,32,12349.310964649492,14306.570800878771,12815.931323617488,13363.418530351437,13814.097444089457
54,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,1,2847.8,2797.240551889622,2821.635672865427,2851.2,2863.8
55,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,2,5704.859028194361,5770.245950809837,5703.4,5728.0,5743.851229754049
56,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,4,11651.669666066786,11549.2,11447.910417916415,11523.295340931812,11516.896620675863
57,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,8,22796.481407437026,22757.49700119952,22832.666933226712,22492.802878848463,23063.38732253549
58,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,16,44882.27063761743,44525.88446931841,44918.0491704977,44689.38636817909,44555.66660003998
59,Linked Lists,50%,32768,linkedlists.transactional.ElasticLinkedListIntSet,32,115060.03191065017,115502.89132602194,115673.12687312688,114576.44710578842,113574.92537313432
60,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,1,2835.6328734253148,2866.2,2829.0,2842.4,2852.6
61,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,2,5769.8,5740.651869626075,5727.254549090181,5780.843831233753,5713.0
62,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,4,11597.48050389922,11528.69426114777,11524.4,11560.6,11614.477104579084
63,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,8,22764.894042383046,22329.134173165367,22924.215156968603,22783.48660535786,22562.97481007597
64,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,16,44695.521791283485,44923.24605236858,45174.29542274635,44876.673995602636,44733.16010393763
65,Linked Lists,50%,32768,linkedlists.transactional.ReusableLinkedListIntSet,32,114794.89225857942,114800.03995205753,114183.78700576196,115703.25284374376,114905.62649640863
66,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,1,1682193.6,1709673.2653469306,1709256.8,1586085.5828834232,1735995.2
67,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,2,3407700.659868026,3453673.2,3375383.323335333,3466942.4,3397773.2
68,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,4,6812858.228354328,6907807.038592281,4436541.091781643,6624654.469106179,6212548.6
69,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,8,13784335.19888067,13898341.731653668,14009149.370125974,13556705.11795282,13676627.474505099
70,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,16,26377439.80834498,26358211.47311613,25938185.92562975,24048427.430624872,25434502.898261044
71,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingFriendlySkipListMap,32,49292969.224620305,51394580.01998002,49395411.58841159,49485400.0,41371293.96482814
72,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,1,1427661.6,1432897.2,1429223.2,1436682.4,1415207.6
73,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,2,2159264.6,2466993.2,2416460.0,2429714.6,2424006.598680264
74,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,4,4776388.0,4685634.673065387,4739833.633273345,4775239.952009598,4716002.599480104
75,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,8,9012224.110355858,8777407.118576284,9102005.598880224,9150549.890021995,9038888.222355528
76,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,16,16394118.329002598,17122524.390243903,16234927.628948422,16617342.263094762,17307441.62335066
77,Skip Lists,50%,32768,skiplists.lockfree.NonBlockingJavaSkipListMap,32,32163118.011182107,32386971.839424808,31191980.215827342,30600055.544455547,31568122.45305633
